Round,Date,Team 1,HG,AG,Team 2
1,Fri Sep 18 2020,Bayern München,8,0,FC Schalke 04
1,Sat Sep 19 2020,Eintracht Frankfurt,1,1,Arminia Bielefeld
1,Sat Sep 19 2020,1. FC Union Berlin,1,3,FC Augsburg
1,Sat Sep 19 2020,1. FC Köln,2,3,TSG 1899 Hoffenheim
1,Sat Sep 19 2020,Werder Bremen,1,4,Hertha BSC
1,Sat Sep 19 2020,VfB Stuttgart,2,3,SC Freiburg
1,Sat Sep 19 2020,Borussia Dortmund,3,0,Bor. Mönchengladbach
1,Sun Sep 20 2020,RB Leipzig,3,1,1. FSV Mainz 05
1,Sun Sep 20 2020,VfL Wolfsburg,0,0,Bayer 04 Leverkusen
2,Fri Sep 25 2020,Hertha BSC,1,3,Eintracht Frankfurt
2,Sat Sep 26 2020,Bor. Mönchengladbach,1,1,1. FC Union Berlin
2,Sat Sep 26 2020,Bayer 04 Leverkusen,1,1,RB Leipzig
2,Sat Sep 26 2020,1. FSV Mainz 05,1,4,VfB Stuttgart
2,Sat Sep 26 2020,FC Augsburg,2,0,Borussia Dortmund
2,Sat Sep 26 2020,Arminia Bielefeld,1,0,1. FC Köln
2,Sat Sep 26 2020,FC Schalke 04,1,3,Werder Bremen
2,Sun Sep 27 2020,TSG 1899 Hoffenheim,4,1,Bayern München
2,Sun Sep 27 2020,SC Freiburg,1,1,VfL Wolfsburg
3,Fri Oct 2 2020,1. FC Union Berlin,4,0,1. FSV Mainz 05
3,Sat Oct 3 2020,Borussia Dortmund,4,0,SC Freiburg
3,Sat Oct 3 2020,Eintracht Frankfurt,2,1,TSG 1899 Hoffenheim
3,Sat Oct 3 2020,1. FC Köln,1,3,Bor. Mönchengladbach
3,Sat Oct 3 2020,Werder Bremen,1,0,Arminia Bielefeld
3,Sat Oct 3 2020,VfB Stuttgart,1,1,Bayer 04 Leverkusen
3,Sat Oct 3 2020,RB Leipzig,4,0,FC Schalke 04
3,Sun Oct 4 2020,VfL Wolfsburg,0,0,FC Augsburg
3,Sun Oct 4 2020,Bayern München,4,3,Hertha BSC
4,Sat Oct 17 2020,TSG 1899 Hoffenheim,0,1,Borussia Dortmund
4,Sat Oct 17 2020,SC Freiburg,1,1,Werder Bremen
4,Sat Oct 17 2020,Hertha BSC,0,2,VfB Stuttgart
